School Year,Season,Sex,Team 1,Team 2,Date,Location,Team 1 Score,Team 2 Score,Team 1 Result
2026-2027,fall,F,Braintree,Brookline,,,,,
2026-2027,fall,F,Braintree,Framingham,,,,,
2026-2027,fall,F,Braintree,Milton,,,,,
2026-2027,fall,F,Braintree,Natick,,,,,
2026-2027,fall,F,Braintree,Needham,2026-09-18,Needham,,,
2026-2027,fall,F,Braintree,Newton North,,,,,
2026-2027,fall,F,Braintree,Walpole,,,,,
2026-2027,fall,F,Braintree,Wellesley,,,,,
2026-2027,fall,F,Braintree,Weymouth,,,,,
2026-2027,fall,F,Brookline,Framingham,,,,,
2026-2027,fall,F,Brookline,Milton,,,,,
2026-2027,fall,F,Brookline,Natick,,,,,
2026-2027,fall,F,Brookline,Needham,2026-10-06,Needham,,,
2026-2027,fall,F,Brookline,Newton North,,,,,
2026-2027,fall,F,Brookline,Walpole,,,,,
2026-2027,fall,F,Brookline,Wellesley,,,,,
2026-2027,fall,F,Brookline,Weymouth,,,,,
2026-2027,fall,F,Framingham,Milton,,,,,
2026-2027,fall,F,Framingham,Natick,,,,,
2026-2027,fall,F,Framingham,Needham,2026-09-01,Needham,,,
2026-2027,fall,F,Framingham,Newton North,,,,,
2026-2027,fall,F,Framingham,Walpole,,,,,
2026-2027,fall,F,Framingham,Wellesley,,,,,
2026-2027,fall,F,Framingham,Weymouth,,,,,
2026-2027,fall,F,Milton,Natick,,,,,
2026-2027,fall,F,Milton,Needham,2026-09-15,Needham,,,
2026-2027,fall,F,Milton,Newton North,,,,,
2026-2027,fall,F,Milton,Walpole,,,,,
2026-2027,fall,F,Milton,Wellesley,,,,,
2026-2027,fall,F,Milton,Weymouth,,,,,
2026-2027,fall,F,Natick,Needham,2026-10-13,Natick,,,
2026-2027,fall,F,Natick,Newton North,,,,,
2026-2027,fall,F,Natick,Walpole,,,,,
2026-2027,fall,F,Natick,Wellesley,,,,,
2026-2027,fall,F,Natick,Weymouth,,,,,
2026-2027,fall,F,Needham,Newton North,2026-10-02,Newton North,,,
2026-2027,fall,F,Needham,Walpole,2026-09-22,Walpole,,,
2026-2027,fall,F,Needham,Wellesley,2026-10-20,Wellesley,,,
2026-2027,fall,F,Needham,Weymouth,2026-10-16,Weymouth,,,
2026-2027,fall,F,Newton North,Walpole,,,,,
2026-2027,fall,F,Newton North,Wellesley,,,,,
2026-2027,fall,F,Newton North,Weymouth,,,,,
2026-2027,fall,F,Walpole,Wellesley,,,,,
2026-2027,fall,F,Walpole,Weymouth,,,,,
2026-2027,fall,F,Wellesley,Weymouth,,,,,
2025-2026,fall,F,Braintree,Brookline,,,46,102,L
2025-2026,fall,F,Braintree,Framingham,,,53,85,L
2025-2026,fall,F,Braintree,Milton,,,46,87,L
2025-2026,fall,F,Braintree,Natick,,,21,48,L
2025-2026,fall,F,Braintree,Needham,,,54,85,L
2025-2026,fall,F,Braintree,Newton North,,,62,95,L
2025-2026,fall,F,Braintree,Walpole,,,55,98,L
2025-2026,fall,F,Braintree,Wellesley,,,59,86,L
